Seg1	439
Seg1	477
Seg1	535
Seg1	694
Seg1	1004
Seg1	1575
Seg1	4279
Seg1	21308
Seg1	49165
Seg1	47011
Seg1	23375
Seg1	10225
Seg1	5471
Seg1	3507
Seg1	2459
Seg1	1700
Seg1	1192
Seg1	966
Seg1	822
Seg1	634
Seg1	612
Seg1	536
Seg1	437
Seg1	422
Seg1	384
Seg1	348
Seg1	372
Seg1	348
Seg1	362
Seg1	462
Seg1	305
Seg1	339
Seg1	345
Seg1	348
Seg1	318
Seg1	304
Seg1	270
Seg1	243
Seg1	235
Seg1	166
Seg1	223
Seg1	167
Seg1	187
Seg1	224
Seg1	177
Seg1	185
Seg1	207
Seg1	179
Seg1	190
Seg1	221
Seg1	180
Seg1	142
Seg1	181
Seg1	147
Seg1	110
Seg1	120
Seg1	96
Seg1	156
Seg1	116
Seg1	140
Seg1	156
Seg1	187
Seg1	90
Seg1	160
