28869	75432	0.382716	28967	75930	0.381496
60374	135747	0.444754	60291	135424	0.445202
161550	316898	0.509785	161490	317460	0.508694
293128	439089	0.667582	294034	440580	0.667379
171562	202591	0.846839	170055	198361	0.857301
280110	269511	1.03933	281222	271059	1.03749
157771	127880	1.23374	158095	127814	1.23691
330141	226319	1.45874	329635	226431	1.45579
296272	166991	1.77418	295653	167788	1.76206
215224	106891	2.01349	214916	106373	2.0204
88324	41550	2.12573	88603	41676	2.126
2083325	2108899	0.987873	2082961	2108896	0.987702
34137	66158	0.515992	34286	66666	0.514295
260696	479565	0.543609	260846	478784	0.544809
562476	708742	0.793626	562682	708964	0.793668
667878	539396	1.2382	668619	539029	1.24041
383248	222057	1.7259	383430	222447	1.72369
96158	48072	2.00029	96177	48077	2.00048
35359	16820	2.1022	35379	16838	2.10114
63536	28110	2.26026	63602	28116	2.26213
2103488	2108920	0.997424	2105021	2108921	0.998151
