111.72	1380.22	135.352	438.058
99.8149	778.246	101.145	851.447
110.689	1004.73	70.4803	779.775
93.876	786.463	88.1571	807.948
112.336	1324.44	77.0232	785.322
101.319	888.75	62.4493	951.71
96.9318	722.304	68.1273	733.167
78.0478	787.43	83.5365	1191.77
92.3214	1375.79	74.1942	1121.61
73.425	211.07	61.2611	180.181
93.661	224.433	94.0094	233.696
104.795	960.715	84.8816	753.802
99.5816	959.023	68.3418	937.063
80.3236	1071.73	44.8421	972.813
82.47	765.288	107.851	1087.57
96.5198	1766.61	94.2617	1437.99
76.2025	1217.46	72.6214	917.598
108.223	995.871	71.8887	913.653
85.4719	753.405	94.1578	903.167
62.6035	1300.63	145.232	1245.66
93.9303	1232.79	105.043	1286.47
58.086	1144.37	60.1663	1405.71
63.921	776.706	65.2556	869.243
74.2069	897.895	95.8092	967.869
