Seg1	2427
Seg2	2784
Seg3	3164
Seg4	4214
Seg5	6115
Seg6	9940
Seg7	29896
Seg8	115760
Seg9	189234
Seg10	186894
Seg11	110227
Seg12	59239
Seg13	29769
Seg14	20581
Seg15	14452
Seg16	10084
Seg17	6883
Seg18	5420
Seg19	4799
Seg20	4053
Seg21	3639
Seg22	3175
Seg23	2878
Seg24	2531
Seg25	2349
Seg26	2146
Seg27	2159
Seg28	2006
Seg29	1940
Seg30	2065
Seg31	1731
Seg32	1771
Seg33	1978
Seg34	1783
Seg35	1703
Seg36	1590
Seg37	1356
Seg38	1340
Seg39	1219
Seg40	1134
Seg41	1072
Seg42	943
Seg43	919
Seg44	920
Seg45	771
Seg46	747
Seg47	773
Seg48	815
Seg49	774
Seg50	780
Seg51	724
Seg52	707
Seg53	695
Seg54	641
Seg55	610
Seg56	603
Seg57	521
Seg58	594
Seg59	549
Seg60	489
Seg61	524
Seg62	569
Seg63	460
Seg64	446
