Seg1	1531
Seg2	1623
Seg3	1854
Seg4	2539
Seg5	3679
Seg6	5821
Seg7	15713
Seg8	74611
Seg9	160840
Seg10	152738
Seg11	79200
Seg12	37382
Seg13	20411
Seg14	12629
Seg15	8660
Seg16	6443
Seg17	4323
Seg18	3502
Seg19	2921
Seg20	2456
Seg21	2327
Seg22	2052
Seg23	1965
Seg24	1560
Seg25	1519
Seg26	1286
Seg27	1299
Seg28	1292
Seg29	1262
Seg30	1745
Seg31	1104
Seg32	1153
Seg33	1547
Seg34	1410
Seg35	1383
Seg36	1334
Seg37	1057
Seg38	1003
Seg39	940
Seg40	749
Seg41	811
Seg42	675
Seg43	731
Seg44	896
Seg45	652
Seg46	673
Seg47	639
Seg48	643
Seg49	592
Seg50	762
Seg51	613
Seg52	499
Seg53	529
Seg54	437
Seg55	411
Seg56	414
Seg57	354
Seg58	461
Seg59	346
Seg60	335
Seg61	412
Seg62	521
Seg63	277
Seg64	406
