Seg1	25319
Seg2	28963
Seg3	33089
Seg4	44118
Seg5	64491
Seg6	121867
Seg7	404677
Seg8	1.22949e+06
Seg9	1.74536e+06
Seg10	1.74114e+06
Seg11	1.09215e+06
Seg12	620459
Seg13	309403
Seg14	218680
Seg15	153300
Seg16	111892
Seg17	72535
Seg18	58765
Seg19	51919
Seg20	43070
Seg21	38357
Seg22	33415
Seg23	30559
Seg24	27416
Seg25	25803
Seg26	24172
Seg27	22383
Seg28	21320
Seg29	19569
Seg30	20624
Seg31	18159
Seg32	19590
Seg33	20321
Seg34	19327
Seg35	17975
Seg36	16543
Seg37	14518
Seg38	13576
Seg39	12891
Seg40	11787
Seg41	11855
Seg42	10660
Seg43	10113
Seg44	9661
Seg45	8442
Seg46	8104
Seg47	8000
Seg48	7728
Seg49	7193
Seg50	7749
Seg51	7058
Seg52	6648
Seg53	6610
Seg54	6296
Seg55	6333
Seg56	6344
Seg57	5986
Seg58	5734
Seg59	5400
Seg60	5022
Seg61	5029
Seg62	5388
Seg63	4568
Seg64	4414
