0.01	-nan	0.005	-nan
0.03	-nan	0.005	-nan
0.05	-nan	0.005	-nan
0.07	-nan	0.005	-nan
0.09	-nan	0.005	-nan
0.11	-nan	0.005	-nan
0.13	-nan	0.005	-nan
0.15	-nan	0.005	-nan
0.17	-nan	0.005	-nan
0.19	-nan	0.005	-nan
0.21	-nan	0.005	-nan
0.23	-nan	0.005	-nan
0.25	-nan	0.005	-nan
0.27	-nan	0.005	-nan
0.29	-nan	0.005	-nan
0.31	-nan	0.005	-nan
0.33	0	0.005	0
0.35	0	0.005	0
0.37	0	0.005	0
0.39	0.0714286	0.005	0.0688303
0.41	0.333333	0.005	0.19245
0.43	0.307692	0.005	0.128008
0.45	0.5	0.005	0.125
0.47	0.333333	0.005	0.121716
0.49	0.545455	0.005	0.106159
0.51	0.769231	0.005	0.116855
0.53	0.8	0.005	0.0894427
0.55	0.863636	0.005	0.073165
0.57	0.793103	0.005	0.0752216
0.59	0.862069	0.005	0.0640329
0.61	0.948718	0.005	0.0353199
0.63	0.972222	0.005	0.0273893
0.65	0.947368	0.005	0.0362235
0.67	0.969697	0.005	0.0298404
0.69	0.955556	0.005	0.0307207
0.71	0.983607	0.005	0.0162585
0.73	0.852941	0.005	0.0429488
0.75	0.954545	0.005	0.0256398
0.77	0.942029	0.005	0.0281328
0.79	0.938462	0.005	0.0298075
0.81	0.893617	0.005	0.0318015
0.83	0.911111	0.005	0.0299977
0.85	0.851064	0.005	0.0367212
0.87	0.78	0.005	0.0414246
0.89	0.692308	0.005	0.0452576
0.91	0.651515	0.005	0.0414732
0.93	0.596639	0.005	0.0449707
0.95	0.472441	0.005	0.0443004
0.97	0.484375	0.005	0.0441726
0.99	0.356522	0.005	0.0446644
1.01	0.25	0.005	0.0365963
1.03	0.285714	0.005	0.039172
1.05	0.158879	0.005	0.0353403
1.07	0.206612	0.005	0.0368068
1.09	0.130435	0.005	0.031405
1.11	0.075	0.005	0.029448
1.13	0.101266	0.005	0.0339417
1.15	0.0666667	0.005	0.0288033
1.17	0.0769231	0.005	0.0301717
1.19	0.0135135	0.005	0.0134219
1.21	0.0344828	0.005	0.0239589
1.23	0.0357143	0.005	0.0247988
1.25	0	0.005	0
1.27	0	0.005	0
1.29	0	0.005	0
1.31	0	0.005	0
1.33	0	0.005	0
1.35	0	0.005	0
1.37	0.016129	0.005	0.0159984
1.39	0	0.005	0
1.41	0	0.005	0
1.43	0	0.005	0
1.45	0	0.005	0
1.47	0	0.005	0
1.49	0	0.005	0
1.51	0	0.005	0
1.53	0	0.005	0
1.55	0	0.005	0
1.57	0	0.005	0
1.59	0	0.005	0
0	19.4349	0	6.9528e-310
6.9528e-310	6.94724e-310	0	9.49272e-316
-nan	1	0	0
6.9528e-310	0	0	0
0	0	0	0
2.122e-314	0	0	9.16135e-316
0	0	0	9.49159e-316
6.9528e-310	0.0333333	0	6.9528e-310
8.12529e-315	19.4349	0	9.49189e-316
1.15414e-320	6.94724e-310	0	1.97626e-323
6.9472e-310	6.9528e-310	0	1.17801e-315
0	6.9528e-310	0	6.9528e-310
0	1.97626e-323	0	9.88131e-324
1.22479e-320	0	0	4.94066e-324
6.95272e-310	6.9528e-310	0	9.88131e-324
6.95293e-310	0	0	0
6.95272e-310	1.39235e+188	0	0
0	0	0	9.49166e-316
5.08888e-322	6.9528e-310	0	6.9528e-310
2.122e-314	6.9528e-310	0	6.9528e-310
