Seg1	1126
Seg2	1348
Seg3	1408
Seg4	1927
Seg5	2856
Seg6	4547
Seg7	13096
Seg8	59861
Seg9	119963
Seg10	114995
Seg11	62538
Seg12	29976
Seg13	15823
Seg14	10055
Seg15	6852
Seg16	4803
Seg17	3277
Seg18	2712
Seg19	2333
Seg20	1941
Seg21	1742
Seg22	1524
Seg23	1347
Seg24	1166
Seg25	1118
Seg26	1035
Seg27	991
Seg28	985
Seg29	882
Seg30	1040
Seg31	831
Seg32	866
Seg33	918
Seg34	846
Seg35	802
Seg36	791
Seg37	687
Seg38	638
Seg39	568
Seg40	515
Seg41	515
Seg42	466
Seg43	456
Seg44	497
Seg45	429
Seg46	401
Seg47	395
Seg48	358
Seg49	376
Seg50	451
Seg51	376
Seg52	367
Seg53	339
Seg54	354
Seg55	290
Seg56	246
Seg57	240
Seg58	289
Seg59	269
Seg60	266
Seg61	293
Seg62	325
Seg63	187
Seg64	242
