Seg1	1296
Seg2	1401
Seg3	1522
Seg4	2001
Seg5	2955
Seg6	4426
Seg7	12158
Seg8	60351
Seg9	139806
Seg10	133694
Seg11	66261
Seg12	28949
Seg13	15647
Seg14	9980
Seg15	6912
Seg16	4887
Seg17	3512
Seg18	2738
Seg19	2291
Seg20	1896
Seg21	1761
Seg22	1579
Seg23	1396
Seg24	1181
Seg25	1059
Seg26	955
Seg27	970
Seg28	1002
Seg29	1017
Seg30	1332
Seg31	918
Seg32	992
Seg33	1046
Seg34	1039
Seg35	973
Seg36	877
Seg37	821
Seg38	821
Seg39	674
Seg40	518
Seg41	623
Seg42	475
Seg43	519
Seg44	673
Seg45	557
Seg46	567
Seg47	598
Seg48	540
Seg49	578
Seg50	668
Seg51	521
Seg52	428
Seg53	524
Seg54	414
Seg55	340
Seg56	301
Seg57	294
Seg58	473
Seg59	333
Seg60	385
Seg61	466
Seg62	570
Seg63	263
Seg64	471
